title,releaseYear,runtimeMins,genre,director,worldwideGross,grossUSA,budget,imdbRating,listRank,url
The Shawshank Redemption,1994,142,Drama,Frank Darabont,28817291,28699976,25000000,9.3,1,https://www.imdb.com/title/tt0111161/
The Godfather,1972,175,Crime,Francis Ford Coppola,246120986,134966411,6000000,9.2,2,https://www.imdb.com/title/tt0068646/
The Godfather: Part II,1974,202,Crime,Francis Ford Coppola,48035783,47834595,13000000,9.0,3,https://www.imdb.com/title/tt0071562/
The Dark Knight,2008,152,Action,Christopher Nolan,1005973645,534858444,185000000,9.0,4,https://www.imdb.com/title/tt0468569/
12 Angry Men,1957,96,Crime,Sidney Lumet,955,No info,350000,9.0,5,https://www.imdb.com/title/tt0050083/
Schindler's List,1993,195,Biography,Steven Spielberg,322161245,96898818,22000000,8.9,6,https://www.imdb.com/title/tt0108052/
The Lord of the Rings: The Return of the King,2003,201,Action,Peter Jackson,1142623460,377845905,94000000,8.9,7,https://www.imdb.com/title/tt0167260/
Pulp Fiction,1994,154,Crime,Quentin Tarantino,213928762,107928762,8000000,8.9,8,https://www.imdb.com/title/tt0110912/
The Lord of the Rings: The Fellowship of the Ring,2001,178,Action,Peter Jackson,892602661,315710750,93000000,8.8,9,https://www.imdb.com/title/tt0120737/
Fight Club,1999,139,Drama,David Fincher,101209593,37030102,63000000,8.8,10,https://www.imdb.com/title/tt0137523/
Forrest Gump,1994,142,Drama,Robert Zemeckis,678226133,330455270,55000000,8.8,11,https://www.imdb.com/title/tt0109830/
Inception,2010,148,Action,Christopher Nolan,836836967,292576195,160000000,8.8,12,https://www.imdb.com/title/tt1375666/
The Lord of the Rings: The Two Towers,2002,179,Action,Peter Jackson,943495095,342551365,94000000,8.7,13,https://www.imdb.com/title/tt0167261/
Star Wars: Episode V - The Empire Strikes Back,1980,124,Action,Irvin Kershner,538375067,292753960,18000000,8.7,14,https://www.imdb.com/title/tt0080684/
The Matrix,1999,136,Action,Lana Wachowski,466364845,171479930,63000000,8.7,15,https://www.imdb.com/title/tt0133093/
Goodfellas,1990,146,Biography,Martin Scorsese,46952991,46836214,25000000,8.7,16,https://www.imdb.com/title/tt0099685/
One Flew Over the Cuckoo's Nest,1975,133,Drama,Milos Forman,108997629,108981275,3000000,8.7,17,https://www.imdb.com/title/tt0073486/
Se7en,1995,127,Crime,David Fincher,327333559,100125643,33000000,8.6,18,https://www.imdb.com/title/tt0114369/
It's a Wonderful Life,1946,130,Drama,Frank Capra,6184298,44000,3180000,8.6,19,https://www.imdb.com/title/tt0038650/
The Silence of the Lambs,1991,118,Crime,Jonathan Demme,272742922,130742922,19000000,8.6,20,https://www.imdb.com/title/tt0102926/
Star Wars: Episode IV - A New Hope,1977,121,Action,George Lucas,775398007,460998507,11000000,8.6,21,https://www.imdb.com/title/tt0076759/
Saving Private Ryan,1998,169,Drama,Steven Spielberg,482349603,217049603,70000000,8.6,22,https://www.imdb.com/title/tt0120815/
Interstellar,2014,169,Adventure,Christopher Nolan,701729127,188020017,165000000,8.6,23,https://www.imdb.com/title/tt0816692/
The Green Mile,1999,189,Crime,Frank Darabont,286801374,136801374,60000000,8.6,24,https://www.imdb.com/title/tt0120689/
Léon: The Professional,1994,110,Action,Luc Besson,19552639,19501238,No info,8.5,25,https://www.imdb.com/title/tt0110413/
The Lion King,1994,88,Animation,Roger Allers,1083720877,422783777,45000000,8.5,26,https://www.imdb.com/title/tt0110357/
Modern Times,1936,87,Comedy,Charles Chaplin,457688,163577,1500000,8.5,27,https://www.imdb.com/title/tt0027977/
The Usual Suspects,1995,106,Crime,Bryan Singer,23341568,23341568,6000000,8.5,28,https://www.imdb.com/title/tt0114814/
The Pianist,2002,150,Biography,Roman Polanski,120072577,32572577,35000000,8.5,29,https://www.imdb.com/title/tt0253474/
Back to the Future,1985,116,Adventure,Robert Zemeckis,381906762,211406762,19000000,8.5,30,https://www.imdb.com/title/tt0088763/
Terminator 2: Judgment Day,1991,137,Action,James Cameron,520881154,205881154,102000000,8.5,31,https://www.imdb.com/title/tt0103064/
Gladiator,2000,155,Action,Ridley Scott,465364545,187705427,103000000,8.5,32,https://www.imdb.com/title/tt0172495/
American History X,1998,119,Drama,Tony Kaye,23875127,6719864,20000000,8.5,33,https://www.imdb.com/title/tt0120586/
Psycho,1960,109,Horror,Alfred Hitchcock,32040242,32000000,806947,8.5,34,https://www.imdb.com/title/tt0054215/
The Departed,2006,151,Crime,Martin Scorsese,291465373,132384315,90000000,8.5,35,https://www.imdb.com/title/tt0407887/
Whiplash,2014,106,Drama,Damien Chazelle,49396747,13092000,3300000,8.5,36,https://www.imdb.com/title/tt2582802/
The Prestige,2006,130,Drama,Christopher Nolan,109676311,53089891,40000000,8.5,37,https://www.imdb.com/title/tt0482571/
Once Upon a Time in the West,1968,165,Western,Sergio Leone,5434825,5321508,5000000,8.5,38,https://www.imdb.com/title/tt0064116/
Hamilton,2020,160,Biography,Thomas Kail,No info,No info,No info,8.5,39,https://www.imdb.com/title/tt8503618/
Casablanca,1942,102,Drama,Michael Curtiz,4376287,4108411,950000,8.5,40,https://www.imdb.com/title/tt0034583/
Rear Window,1954,112,Mystery,Alfred Hitchcock,37034514,36764313,1000000,8.4,41,https://www.imdb.com/title/tt0047396/
The Great Dictator,1940,125,Comedy,Charles Chaplin,969879,No info,2000000,8.4,42,https://www.imdb.com/title/tt0032553/
Alien,1979,117,Horror,Ridley Scott,106285522,81900459,11000000,8.4,43,https://www.imdb.com/title/tt0078748/
Apocalypse Now,1979,147,Drama,Francis Ford Coppola,92149094,83471511,31500000,8.4,44,https://www.imdb.com/title/tt0078788/
Memento,2000,113,Mystery,Christopher Nolan,40047078,25544867,9000000,8.4,45,https://www.imdb.com/title/tt0209144/
Indiana Jones and the Raiders of the Lost Ark,1981,115,Action,Steven Spielberg,389925971,248159971,18000000,8.4,46,https://www.imdb.com/title/tt0082971/
Django Unchained,2012,165,Drama,Quentin Tarantino,426074373,162805434,100000000,8.4,47,https://www.imdb.com/title/tt1853728/
Paths of Glory,1957,88,Drama,Stanley Kubrick,5252,No info,935000,8.4,48,https://www.imdb.com/title/tt0050825/
Joker,2019,122,Crime,Todd Phillips,1074251311,335451311,55000000,8.4,49,https://www.imdb.com/title/tt7286456/
Witness for the Prosecution,1957,116,Crime,Billy Wilder,7693,No info,3000000,8.4,50,https://www.imdb.com/title/tt0051201/
Avengers: Infinity War,2018,149,Action,Anthony Russo,2048359754,678815482,321000000,8.4,51,https://www.imdb.com/title/tt4154756/
WALL·E,2008,98,Animation,Andrew Stanton,521311890,223808164,180000000,8.4,52,https://www.imdb.com/title/tt0910970/
Sunset Blvd.,1950,110,Drama,Billy Wilder,300073,299645,1752000,8.4,53,https://www.imdb.com/title/tt0043014/
The Shining,1980,144,Drama,Stanley Kubrick,46998772,45332952,19000000,8.4,54,https://www.imdb.com/title/tt0081505/
Spider-Man: Into the Spider-Verse,2018,117,Animation,Bob Persichetti,375540831,190241310,90000000,8.4,55,https://www.imdb.com/title/tt4633694/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,Comedy,Stanley Kubrick,9443876,9440272,1800000,8.4,56,https://www.imdb.com/title/tt0057012/
The Dark Knight Rises,2012,164,Action,Christopher Nolan,1081142612,448139099,250000000,8.4,57,https://www.imdb.com/title/tt1345836/
Once Upon a Time in America,1984,229,Crime,Sergio Leone,5472914,5321508,30000000,8.4,58,https://www.imdb.com/title/tt0087843/
Coco,2017,105,Animation,Lee Unkrich,807817888,210460015,175000000,8.4,59,https://www.imdb.com/title/tt2380307/
Avengers: Endgame,2019,181,Action,Anthony Russo,2797501328,858373000,356000000,8.4,60,https://www.imdb.com/title/tt4154796/
Aliens,1986,137,Action,James Cameron,131060248,85160248,18500000,8.3,61,https://www.imdb.com/title/tt0090605/
Braveheart,1995,178,Biography,Mel Gibson,213216216,75609945,72000000,8.3,62,https://www.imdb.com/title/tt0112573/
American Beauty,1999,122,Drama,Sam Mendes,356296601,130096601,15000000,8.3,63,https://www.imdb.com/title/tt0169547/
Amadeus,1984,160,Biography,Milos Forman,52066791,51973029,18000000,8.3,64,https://www.imdb.com/title/tt0086879/
Toy Story,1995,81,Animation,John Lasseter,394436586,223225679,30000000,8.3,65,https://www.imdb.com/title/tt0114709/
Inglourious Basterds,2009,153,Adventure,Quentin Tarantino,321457747,120540719,70000000,8.3,66,https://www.imdb.com/title/tt0361748/
Good Will Hunting,1997,126,Drama,Gus Van Sant,225933435,138433435,10000000,8.3,67,https://www.imdb.com/title/tt0119217/
The Father,2020,97,Drama,Florian Zeller,3806932,1627007,No info,8.3,68,https://www.imdb.com/title/tt10272386/
Star Wars: Episode VI - Return of the Jedi,1983,131,Action,Richard Marquand,475106177,309306177,32500000,8.3,69,https://www.imdb.com/title/tt0086190/
Reservoir Dogs,1992,99,Crime,Quentin Tarantino,2892430,2832029,1200000,8.3,70,https://www.imdb.com/title/tt0105236/
2001: A Space Odyssey,1968,149,Adventure,Stanley Kubrick,65783882,60405931,12000000,8.3,71,https://www.imdb.com/title/tt0062622/
Requiem for a Dream,2000,102,Drama,Darren Aronofsky,7390108,3635482,4500000,8.3,72,https://www.imdb.com/title/tt0180093/
Vertigo,1958,128,Mystery,Alfred Hitchcock,7797300,7705225,2479000,8.3,73,https://www.imdb.com/title/tt0052357/
Eternal Sunshine of the Spotless Mind,2004,108,Drama,Michel Gondry,74036715,34400301,20000000,8.3,74,https://www.imdb.com/title/tt0338013/
Singin' in the Rain,1952,103,Comedy,Stanley Donen,1865056,1826108,2540800,8.3,75,https://www.imdb.com/title/tt0045152/
Citizen Kane,1941,119,Drama,Orson Welles,1600719,1585634,839727,8.3,76,https://www.imdb.com/title/tt0033467/
North by Northwest,1959,136,Adventure,Alfred Hitchcock,73695,No info,3101000,8.3,77,https://www.imdb.com/title/tt0053125/
Snatch,2000,104,Comedy,Guy Ritchie,83557872,30328156,No info,8.3,78,https://www.imdb.com/title/tt0208092/
Full Metal Jacket,1987,116,Drama,Stanley Kubrick,46357676,46357676,30000000,8.3,79,https://www.imdb.com/title/tt0093058/
Scarface,1983,170,Crime,Brian De Palma,65884703,45408703,25000000,8.3,80,https://www.imdb.com/title/tt0086250/
1917,2019,119,Drama,Sam Mendes,384965466,159227644,95000000,8.3,81,https://www.imdb.com/title/tt8579674/
A Clockwork Orange,1971,136,Crime,Stanley Kubrick,26904636,26589355,2200000,8.3,82,https://www.imdb.com/title/tt0066921/
The Sting,1973,129,Comedy,George Roy Hill,156000000,156000000,5500000,8.3,83,https://www.imdb.com/title/tt0070735/
The Apartment,1960,125,Comedy,Billy Wilder,18778454,18600000,3000000,8.3,84,https://www.imdb.com/title/tt0053604/
Lawrence of Arabia,1962,187,Adventure,David Lean,45715757,45306425,15000000,8.3,85,https://www.imdb.com/title/tt0056172/
Double Indemnity,1944,107,Crime,Billy Wilder,13886,No info,927262,8.3,86,https://www.imdb.com/title/tt0036775/
Taxi Driver,1976,114,Crime,Martin Scorsese,28441292,28262574,1300000,8.2,87,https://www.imdb.com/title/tt0075314/
Toy Story 3,2010,103,Animation,Lee Unkrich,1066970811,415004880,200000000,8.2,88,https://www.imdb.com/title/tt0435761/
To Kill a Mockingbird,1962,129,Crime,Robert Mulligan,599146,592237,2000000,8.2,89,https://www.imdb.com/title/tt0056592/
Up,2009,96,Animation,Pete Docter,735099102,293004164,175000000,8.2,90,https://www.imdb.com/title/tt1049413/
Indiana Jones and the Last Crusade,1989,127,Action,Steven Spielberg,474171806,197171806,48000000,8.2,91,https://www.imdb.com/title/tt0097576/
Heat,1995,170,Crime,Michael Mann,187436818,67436818,60000000,8.2,92,https://www.imdb.com/title/tt0113277/
Green Book,2018,130,Biography,Peter Farrelly,321752656,85080171,23000000,8.2,93,https://www.imdb.com/title/tt6966692/
L.A. Confidential,1997,138,Crime,Curtis Hanson,126216940,64616940,35000000,8.2,94,https://www.imdb.com/title/tt0119488/
Die Hard,1988,132,Action,John Mctiernan,141603197,83844093,28000000,8.2,95,https://www.imdb.com/title/tt0095016/
Batman Begins,2005,140,Action,Christopher Nolan,373661946,206852432,150000000,8.2,96,https://www.imdb.com/title/tt0372784/
Monty Python and the Holy Grail,1975,91,Adventure,Terry Gilliam,1940906,1827696,No info,8.2,97,https://www.imdb.com/title/tt0071853/
Judgment at Nuremberg,1961,179,Drama,Stanley Kramer,12180,No info,3000000,8.2,98,https://www.imdb.com/title/tt0055031/
Some Like It Hot,1959,121,Comedy,Billy Wilder,195088,No info,2883848,8.2,99,https://www.imdb.com/title/tt0053291/
All About Eve,1950,138,Drama,Joseph L. Mankiewicz,151052,63463,1400000,8.2,100,https://www.imdb.com/title/tt0042192/
Unforgiven,1992,130,Drama,Clint Eastwood,159157447,101157447,14400000,8.2,101,https://www.imdb.com/title/tt0105695/
The Great Escape,1963,172,Adventure,John Sturges,227940,No info,4000000,8.2,102,https://www.imdb.com/title/tt0057115/
A Beautiful Mind,2001,135,Biography,Ron Howard,316791257,170742341,58000000,8.2,103,https://www.imdb.com/title/tt0268978/
The Wolf of Wall Street,2013,180,Biography,Martin Scorsese,392000694,116900694,100000000,8.2,104,https://www.imdb.com/title/tt0993846/
Casino,1995,178,Crime,Martin Scorsese,116112375,42512375,52000000,8.2,105,https://www.imdb.com/title/tt0112641/
To Be or Not to Be,1942,99,Comedy,Ernst Lubitsch,4578000,3270000,No info,8.2,106,https://www.imdb.com/title/tt0035446/
The Treasure of the Sierra Madre,1948,126,Adventure,John Huston,5014000,5014000,3000000,8.2,107,https://www.imdb.com/title/tt0040897/
There Will Be Blood,2007,158,Drama,Paul Thomas Anderson,76182388,40222514,25000000,8.2,108,https://www.imdb.com/title/tt0469494/
"Lock, Stock and Two Smoking Barrels",1998,107,Action,Guy Ritchie,3753929,3753929,No info,8.2,109,https://www.imdb.com/title/tt0120735/
Klaus,2019,96,Animation,Sergio Pablos,No info,No info,40000000,8.2,110,https://www.imdb.com/title/tt4729430/
Dial M for Murder,1954,105,Crime,Alfred Hitchcock,18816,12562,1400000,8.2,111,https://www.imdb.com/title/tt0046912/
Raging Bull,1980,129,Biography,Martin Scorsese,23402427,23383987,18000000,8.2,112,https://www.imdb.com/title/tt0081398/
Shutter Island,2010,138,Mystery,Martin Scorsese,294805697,128012934,80000000,8.2,113,https://www.imdb.com/title/tt1130884/
"Three Billboards Outside Ebbing, Missouri",2017,115,Comedy,Martin Mcdonagh,160192267,54513740,15000000,8.1,114,https://www.imdb.com/title/tt5027774/
Chinatown,1974,130,Drama,Roman Polanski,29225935,29200000,6000000,8.1,115,https://www.imdb.com/title/tt0071315/
V for Vendetta,2005,132,Action,James Mcteigue,132511035,70511035,54000000,8.2,116,https://www.imdb.com/title/tt0434409/
The Elephant Man,1980,124,Biography,David Lynch,26023706,26010864,5000000,8.1,117,https://www.imdb.com/title/tt0080678/
Warrior,2011,140,Action,Gavin O'Connor,23308615,13657115,25000000,8.2,118,https://www.imdb.com/title/tt1291584/
The Thing,1982,109,Horror,John Carpenter,19632053,19629760,15000000,8.1,119,https://www.imdb.com/title/tt0084787/
No Country for Old Men,2007,122,Crime,Ethan Coen,171627166,74283625,25000000,8.1,120,https://www.imdb.com/title/tt0477348/
Inside Out,2015,95,Animation,Pete Docter,858071350,356921711,175000000,8.1,121,https://www.imdb.com/title/tt2096673/
Gone with the Wind,1939,238,Drama,Victor Fleming,402352579,200852579,3977000,8.1,122,https://www.imdb.com/title/tt0031381/
The Sixth Sense,1999,107,Drama,M. Night Shyamalan,672806292,293506292,40000000,8.1,123,https://www.imdb.com/title/tt0167404/
